# StatCurve — per-level multipliers for stats (Levels 1–100)

# Format: LV=HP,ATK,DEF,SPA,SPD2,SPD,DEX  (multipliers, 1.00 = base)

# Design: gentle early growth, mid-game lift, late-game stronger; HP grows fastest.

60=2.77,1.59,1.59,1.59,1.59,1.59,1.30
61=2.80,1.60,1.60,1.60,1.60,1.60,1.30
62=2.83,1.61,1.61,1.61,1.61,1.61,1.31
63=2.86,1.62,1.62,1.62,1.62,1.62,1.31
64=2.89,1.63,1.63,1.63,1.63,1.63,1.32
65=2.92,1.64,1.64,1.64,1.64,1.64,1.32
66=2.95,1.65,1.65,1.65,1.65,1.65,1.33
67=2.98,1.66,1.66,1.66,1.66,1.66,1.33
68=3.01,1.67,1.67,1.67,1.67,1.67,1.34
69=3.04,1.68,1.68,1.68,1.68,1.68,1.34
70=3.07,1.69,1.69,1.69,1.69,1.69,1.35
71=3.10,1.70,1.70,1.70,1.70,1.70,1.35
72=3.13,1.71,1.71,1.71,1.71,1.71,1.36
73=3.16,1.72,1.72,1.72,1.72,1.72,1.36
74=3.19,1.73,1.73,1.73,1.73,1.73,1.37
75=3.22,1.74,1.74,1.74,1.74,1.74,1.37
76=3.25,1.75,1.75,1.75,1.75,1.75,1.38
77=3.28,1.76,1.76,1.76,1.76,1.76,1.38
78=3.31,1.77,1.77,1.77,1.77,1.77,1.39
79=3.34,1.78,1.78,1.78,1.78,1.78,1.39
80=3.37,1.79,1.79,1.79,1.79,1.79,1.40
81=3.40,1.80,1.80,1.80,1.80,1.80,1.40
82=3.43,1.81,1.81,1.81,1.81,1.81,1.41
83=3.46,1.82,1.82,1.82,1.82,1.82,1.41
84=3.49,1.83,1.83,1.83,1.83,1.83,1.42
85=3.52,1.84,1.84,1.84,1.84,1.84,1.42
86=3.55,1.85,1.85,1.85,1.85,1.85,1.43
87=3.58,1.86,1.86,1.86,1.86,1.86,1.43
88=3.61,1.87,1.87,1.87,1.87,1.87,1.44
89=3.64,1.88,1.88,1.88,1.88,1.88,1.44
90=3.67,1.89,1.89,1.89,1.89,1.89,1.45
91=3.70,1.90,1.90,1.90,1.90,1.90,1.45
92=3.73,1.91,1.91,1.91,1.91,1.91,1.46
93=3.76,1.92,1.92,1.92,1.92,1.92,1.46
94=3.79,1.93,1.93,1.93,1.93,1.93,1.47
95=3.82,1.94,1.94,1.94,1.94,1.94,1.47
96=3.85,1.95,1.95,1.95,1.95,1.95,1.48
97=3.88,1.96,1.96,1.96,1.96,1.96,1.48
98=3.91,1.97,1.97,1.97,1.97,1.97,1.49
99=3.94,1.98,1.98,1.98,1.98,1.98,1.49
100=3.97,2.00,2.00,2.00,2.00,2.00,1.50

# HP tops \~4x base at 100, offense/defense \~2x, speed \~2x, dex \~1.5x; tune as desired.
